"is_legendary","ndex","species","forme","gender","type1","type2","ability","weight_kg","height_m","nature","hp","attack","defense","spattack","spdefense","speed","Move.1","Move.2","Move.3","Move.4"
0,240,"Magby","Magby",1,"Fire",NA,"Flame Body",22.54,0.76,"Brave",230,176,92,149,134,157,"Lava Plume","Sunny Day","Flamethrower","Fire Blast"
0,666,"Vivillon","Vivillon (Meadow Pattern)",0,"Bug","Flying","Shield Dust",15.16,0.73,"Lonely",290,119,98,196,106,212,"Safeguard","Quiver Dance","Hurricane","Powder"
0,319,"Sharpedo","Sharpedo",1,"Water","Dark","Speed Boost",92.77,1.1,"Docile",281,269,88,220,101,208,"Agility","Skull Bash","Taunt","Night Slash"
0,214,"Heracross","Heracross",1,"Bug","Fighting","Guts",57.57,2.48,"Jolly",287,256,162,95,214,223,"Take Down","Megahorn","Close Combat","Reversal"
0,512,"Simisage","Simisage",1,"Grass",NA,"Gluttony",29.85,0.59,"Gentle",270,204,139,211,144,210,"Fury Swipes","Lick","Leer","Seed Bomb"
0,3,"Venusaur","Venusaur (Mega Venusaur)",1,"Grass","Poison","Thick Fat",157.44,1.23,"Timid",271,210,282,280,265,206,"Worry Seed","Synthesis","Petal Blizzard","Solar Beam"
1,720,"Hoopa","Hoopa (Hoopa Unbound)",NA,"Psychic","Dark","Magician",496.37,7,"Naive",301,356,156,362,245,209,"Trick Room","Dark Pulse","Psychic","Hyperspace Fury"
0,168,"Ariados","Ariados",0,"Bug","Poison","Insomnia",32.29,0.72,"Careful",279,210,152,114,174,108,"Poison Jab","Cross Poison","Sticky Web","Toxic Thread"
0,455,"Carnivine","Carnivine",1,"Grass",NA,"Levitate",28.53,0.35,"Timid",279,206,154,197,150,128,"Swallow","Crunch","Wring Out","Power Whip"
1,385,"Jirachi","Jirachi",NA,"Steel","Psychic","Serene Grace",1.53,0.35,"Docile",316,236,233,236,236,236,"Future Sight","Cosmic Power","Last Resort","Doom Desire"
0,229,"Houndoom","Houndoom (Mega Houndoom)",1,"Dark","Fire","Solar Power",50.1,2.29,"Relaxed",286,206,217,312,199,231,"Flamethrower","Crunch","Nasty Plot","Inferno"
0,675,"Pangoro","Pangoro",0,"Dark","Fighting","Scrappy",133.77,2.39,"Sassy",315,283,169,166,170,115,"Sky Uppercut","Low Sweep","Taunt","Hammer Arm"
0,76,"Golem","Golem",1,"Rock","Ground","Sand Veil",303.52,2.2,"Quirky",301,268,269,126,166,124,"Explosion","Double-Edge","Stone Edge","Heavy Slam"
0,191,"Sunkern","Sunkern",1,"Grass",NA,"Early Bird",1.9,0.32,"Rash",170,88,68,101,63,95,"Solar Beam","Double-Edge","Sunny Day","Seed Bomb"
0,109,"Koffing","Koffing",1,"Poison",NA,"Levitate",0.8,0.74,"Hardy",194,143,202,134,114,98,"Explosion","Destiny Bond","Belch","Memento"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",38.78,0.2,"Docile",236,132,205,141,234,136,"Power Gem","Double-Edge","Shell Smash","Explosion"
1,793,"Nihilego","Nihilego",NA,"Rock","Poison","Beast Boost",58,1.12,"Bashful",359,142,106,286,298,217,"Venom Drench","Stealth Rock","Wonder Room","Head Smash"
0,546,"Cottonee","Cottonee",1,"Grass","Fairy","Infiltrator",0.67,0.3,"Lonely",196,74,126,86,121,156,"Cotton Guard","Sunny Day","Endeavor","Solar Beam"
0,529,"Drilbur","Drilbur",1,"Ground",NA,"Sand Force",9.64,0.58,"Docile",251,203,109,68,107,171,"Swords Dance","Sandstorm","Drill Run","Fissure"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",41.21,0.3,"Bold",233,126,248,139,221,142,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,62,"Poliwrath","Poliwrath",0,"Water","Fighting","Damp",52.11,0.92,"Hasty",303,196,192,171,209,166,"Dynamic Punch","Mind Reader","Circle Throw","Submission"
0,763,"Tsareena","Tsareena",0,"Grass",NA,"Leaf Guard",21.6,1.24,"Calm",279,233,203,105,243,153,"Captivate","Aromatherapy","Leaf Storm","High Jump Kick"
0,274,"Nuzleaf","Nuzleaf",0,"Grass","Dark","Pickpocket",24.56,0.94,"Naive",273,160,101,134,99,171,"Feint Attack","Leaf Blade","Swagger","Extrasensory"
0,774,"Minior","Minior (Yellow Core)",NA,"Rock","Flying","Shields Down",0.63,0.37,"Hasty",245,234,139,216,125,286,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,475,"Gallade","Gallade (Mega Gallade)",1,"Psychic","Fighting","Inner Focus",55.68,2.2,"Jolly",246,350,199,136,239,251,"False Swipe","Protect","Close Combat","Stored Power"
0,8,"Wartortle","Wartortle",1,"Water",NA,"Torrent",21.59,0.47,"Mild",238,131,166,156,176,145,"Skull Bash","Iron Defense","Rain Dance","Hydro Pump"
0,326,"Grumpig","Grumpig",0,"Psychic",NA,"Gluttony",70.96,1.19,"Lonely",298,112,121,202,246,185,"Psyshock","Payback","Psychic","Bounce"
0,217,"Ursaring","Ursaring",1,"Normal",NA,"Unnerve",121.01,1.6,"Calm",315,239,180,169,185,132,"Rest","Snore","Thrash","Hammer Arm"
0,215,"Sneasel","Sneasel",0,"Dark","Ice","Inner Focus",28.65,0.7,"Calm",237,202,145,91,183,262,"Slash","Snatch","Punishment","Ice Shard"
0,601,"Klinklang","Klinklang",0,"Steel",NA,"Clear Body",81.36,0.12,"Lonely",251,236,217,162,189,213,"Shift Gear","Lock-On","Zap Cannon","Hyper Beam"
0,354,"Banette","Banette (Mega Banette)",1,"Ghost",NA,"Prankster",12.26,1.56,"Mild",254,358,149,236,188,180,"Snatch","Grudge","Trick","Phantom Force"
1,718,"Zygarde","Zygarde (10% Forme)",NA,"Dragon","Ground","Power Construct",29.21,1.43,"Adamant",244,234,171,142,206,266,"Camouflage","Dragon Pulse","Coil","Outrage"
0,84,"Doduo","Doduo",0,"Normal","Flying","Run Away",43.67,1.14,"Naive",209,187,123,99,87,188,"Jump Kick","Drill Peck","Endeavor","Thrash"
0,461,"Weavile","Weavile",0,"Dark","Ice","Pressure",36.69,1.43,"Brave",253,301,143,106,197,237,"Night Slash","Snatch","Punishment","Dark Pulse"
0,627,"Rufflet","Rufflet",1,"Normal","Flying","Hustle",10.3,0.45,"Bashful",259,187,122,98,133,134,"Sky Drop","Whirlwind","Brave Bird","Thrash"
0,605,"Elgyem","Elgyem",1,"Psychic",NA,"Analytic",7.79,0.49,"Bashful",245,128,144,201,143,71,"Guard Split","Power Split","Synchronoise","Wonder Room"
0,620,"Mienshao","Mienshao",1,"Fighting",NA,"Reckless",37.68,1.71,"Bashful",262,262,143,219,141,238,"Bounce","High Jump Kick","Reversal","Aura Sphere"
0,416,"Vespiquen","Vespiquen",0,"Bug","Flying","Unnerve",37.86,0.8,"Brave",252,182,232,177,209,99,"Attack Order","Swagger","Destiny Bond","Fell Stinger"
0,415,"Combee","Combee",1,"Bug","Flying","Hustle",4.98,0.34,"Rash",180,95,95,102,102,153,"Bug Bite","Bug Buzz","Gust","Sweet Scent"
0,612,"Haxorus","Haxorus",1,"Dragon",NA,"Mold Breaker",111.97,1.9,"Quirky",287,308,192,126,155,224,"Swords Dance","Guillotine","Outrage","Giga Impact"
0,421,"Cherrim","Cherrim (Overcast Form)",0,"Grass",NA,"Flower Gift",9.35,0.21,"Careful",281,130,163,183,181,193,"Take Down","Solar Beam","Lucky Chant","Petal Blizzard"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",43.25,0.37,"Calm",233,119,234,136,256,136,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,19,"Rattata","Rattata",1,"Normal",NA,"Hustle",2.49,0.45,"Gentle",186,139,75,73,86,153,"Sucker Punch","Super Fang","Double-Edge","Endeavor"
0,219,"Magcargo","Magcargo",1,"Fire","Rock","Weak Armor",50.66,0.76,"Docile",252,120,272,200,183,67,"Body Slam","Recover","Flamethrower","Earth Power"
0,392,"Infernape","Infernape",1,"Fire","Fighting","Iron Fist",57.43,1.08,"Lonely",290,253,137,231,172,232,"Fire Spin","Acrobatics","Calm Mind","Flare Blitz"
0,226,"Mantine","Mantine",0,"Water","Flying","Swift Swim",213.19,2.48,"Jolly",282,102,147,164,295,177,"Air Slash","Aqua Ring","Bounce","Hydro Pump"
0,388,"Grotle","Grotle",1,"Grass",NA,"Shell Armor",96.04,1.44,"Docile",288,200,196,135,164,85,"Synthesis","Crunch","Giga Drain","Leaf Storm"
0,73,"Tentacruel","Tentacruel",0,"Water","Poison","Rain Dish",60.11,1.66,"Brave",273,181,144,168,249,189,"Hex","Sludge Wave","Hydro Pump","Wring Out"
0,269,"Dustox","Dustox",1,"Bug","Poison","Shield Dust",31.85,1.09,"Calm",251,112,152,108,218,147,"Toxic","Bug Buzz","Protect","Quiver Dance"
0,28,"Sandslash","Sandslash (Alola Form)",1,"Ice","Steel","Snow Cloak",54.71,1.13,"Rash",267,234,264,75,143,161,"Defense Curl","Icicle Spear","Ice Ball","Icicle Crash"
0,724,"Decidueye","Decidueye",1,"Grass","Ghost","Overgrow",34.86,1.98,"Jolly",285,240,183,188,222,160,"Leaf Blade","Feather Dance","Brave Bird","Nasty Plot"
0,606,"Beheeyem","Beheeyem",0,"Psychic",NA,"Analytic",35.85,1.74,"Rash",268,180,185,304,182,115,"Guard Split","Power Split","Synchronoise","Wonder Room"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",41.72,0.76,"Rash",252,125,229,157,201,156,"Power Gem","Double-Edge","Shell Smash","Explosion"
1,386,"Deoxys","Deoxys (Normal Forme)",NA,"Psychic",NA,"Pressure",63.97,1.47,"Quirky",241,336,105,316,114,336,"Cosmic Power","Recover","Psycho Boost","Hyper Beam"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",41.48,0.48,"Lax",260,145,251,129,193,130,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,658,"Greninja","Greninja (Battle Bond)",1,"Water","Dark","Battle Bond",42.21,2.34,"Naughty",267,218,149,236,146,253,"Double Team","Hydro Pump","Haze","Night Slash"
0,94,"Gengar","Gengar",0,"Ghost","Poison","Cursed Body",40.75,1.7,"Gentle",236,136,140,291,187,234,"Dark Pulse","Destiny Bond","Hex","Nightmare"
0,633,"Deino","Deino",1,"Dark","Dragon","Hustle",17.3,0.74,"Rash",243,156,133,116,102,93,"Body Slam","Scary Face","Hyper Voice","Outrage"
0,53,"Persian","Persian (Alola Form)",0,"Dark",NA,"Rattled",33.64,0.8,"Bashful",250,146,148,185,162,266,"Captivate","Night Slash","Feint","Dark Pulse"
0,553,"Krookodile","Krookodile",1,"Ground","Dark","Intimidate",99.8,2.19,"Quirky",330,268,175,151,174,219,"Foul Play","Sandstorm","Earthquake","Outrage"
1,790,"Cosmoem","Cosmoem",NA,"Psychic",NA,"Sturdy",980.7,0.14,"Brave",227,103,298,87,297,78,"Cosmic Power","Teleport",NA,NA
0,420,"Cherubi","Cherubi",0,"Grass",NA,"Chlorophyll",3.19,0.09,"Bashful",202,104,124,132,136,80,"Take Down","Solar Beam","Lucky Chant","Petal Blizzard"
0,474,"Porygon-Z","Porygon-Z",NA,"Normal",NA,"Download",33.17,1.16,"Gentle",304,178,151,306,204,201,"Tri Attack","Magic Coat","Zap Cannon","Hyper Beam"
0,745,"Lycanroc","Lycanroc (Midnight Form)",0,"Rock",NA,"Keen Eye",24.98,1.61,"Brave",300,280,167,142,163,157,"Scary Face","Crunch","Rock Climb","Stone Edge"
0,586,"Sawsbuck","Sawsbuck (Winter Form)",0,"Normal","Grass","Serene Grace",94.27,1.71,"Jolly",301,217,148,115,152,225,"Charm","Nature Power","Double-Edge","Solar Beam"
0,181,"Ampharos","Ampharos (Mega Ampharos)",1,"Electric",NA,"Mold Breaker",67.26,1.75,"Lax",301,216,255,337,229,119,"Signal Beam","Light Screen","Thunder","Dragon Pulse"
0,300,"Skitty","Skitty",0,"Normal",NA,"Normalize",12,0.49,"Gentle",241,96,99,97,103,131,"Heal Bell","Double-Edge","Captivate","Play Rough"
0,541,"Swadloon","Swadloon",1,"Bug","Grass","Overcoat",8.27,0.21,"Sassy",232,140,200,131,209,85,"Tackle","String Shot","Bug Bite","Razor Leaf"
0,452,"Drapion","Drapion",0,"Poison","Dark","Battle Armor",58.57,1.68,"Hardy",256,216,249,125,181,221,"Scary Face","Crunch","Fell Stinger","Cross Poison"
1,649,"Genesect","Genesect (Genesect)",NA,"Bug","Steel","Download",78.82,0.31,"Quirky",283,276,225,276,201,226,"Simple Beam","Zap Cannon","Hyper Beam","Self-Destruct"
0,289,"Slaking","Slaking",1,"Normal",NA,"Truant",135.97,1.55,"Hasty",430,345,207,222,137,251,"Flail","Fling","Punishment","Hammer Arm"
0,583,"Vanillish","Vanillish",0,"Ice",NA,"Ice Body",40.25,1.15,"Sassy",217,159,162,175,201,120,"Hail","Mirror Coat","Blizzard","Sheer Cold"
0,406,"Budew","Budew",0,"Grass","Poison","Sheer Force",1.7,0.17,"Bashful",195,95,79,118,163,128,"Water Sport","Stun Spore","Mega Drain","Worry Seed"
0,127,"Pinsir","Pinsir",1,"Bug",NA,"Mold Breaker",54.08,1.47,"Naughty",255,304,207,129,135,177,"Swords Dance","Thrash","Superpower","Guillotine"
0,710,"Pumpkaboo","Pumpkaboo (Average Size)",0,"Ghost","Grass","Pickup",5.58,0.31,"Hardy",234,139,174,98,132,135,"Shadow Ball","Trick-or-Treat","Pain Split","Seed Bomb"
0,169,"Crobat","Crobat",0,"Poison","Flying","Infiltrator",70.87,1.65,"Brave",308,233,185,159,172,260,"Haze","Venoshock","Air Slash","Quick Guard"
0,351,"Castform","Castform (Normal)",0,"Normal",NA,"Forecast",0.92,0.45,"Rash",267,161,175,161,152,175,"Hydro Pump","Fire Blast","Blizzard","Hurricane"
0,603,"Eelektrik","Eelektrik",0,"Electric",NA,"Levitate",20.62,0.77,"Bold",269,175,191,169,154,91,"Wild Charge","Gastro Acid","Zap Cannon","Thrash"
0,240,"Magby","Magby",1,"Fire",NA,"Flame Body",23.71,1.07,"Lonely",202,200,79,153,129,197,"Lava Plume","Sunny Day","Flamethrower","Fire Blast"
0,242,"Blissey","Blissey",0,"Normal",NA,"Natural Cure",48.38,1.5,"Sassy",638,31,40,175,332,103,"Egg Bomb","Light Screen","Healing Wish","Double-Edge"
0,115,"Kangaskhan","Kangaskhan (Mega Kangaskhan)",0,"Normal",NA,"Parental Bond",101.22,2.59,"Lax",344,268,229,138,202,230,"Endure","Outrage","Sucker Punch","Reversal"
0,658,"Greninja","Greninja (Battle Bond)",1,"Water","Dark","Battle Bond",43.26,1.97,"Quirky",276,223,144,229,172,258,"Double Team","Hydro Pump","Haze","Night Slash"
0,784,"Kommo-o","Kommo-o (1)",0,"Dragon","Fighting","Bulletproof",79.01,1.76,"Timid",283,227,275,224,236,224,"Dragon Claw","Noble Roar","Dragon Dance","Outrage"
0,410,"Shieldon","Shieldon",1,"Rock","Steel","Shed Skin",52.19,0.45,"Relaxed",175,91,270,98,190,78,"Endure","Metal Burst","Iron Head","Heavy Slam"
0,666,"Vivillon","Vivillon (Continental Pattern)",1,"Bug","Flying","Friend Guard",17.6,1.33,"Naive",301,123,115,186,94,207,"Safeguard","Quiver Dance","Hurricane","Powder"
0,14,"Kakuna","Kakuna",0,"Bug","Poison","Shed Skin",10.69,1.29,"Careful",203,79,133,57,71,86,"Harden",NA,NA,NA
0,586,"Sawsbuck","Sawsbuck (Spring Form)",0,"Normal","Grass","Sap Sipper",87.68,2.25,"Lax",281,236,168,151,140,221,"Charm","Nature Power","Double-Edge","Solar Beam"
0,724,"Decidueye","Decidueye",0,"Grass","Ghost","Overgrow",34.6,2.27,"Gentle",266,229,163,235,237,148,"Leaf Blade","Feather Dance","Brave Bird","Nasty Plot"
1,380,"Latias","Latias",0,"Dragon","Psychic","Levitate",39.69,0.83,"Adamant",301,206,187,215,296,256,"Guard Split","Psychic","Dragon Pulse","Healing Wish"
0,59,"Arcanine","Arcanine",1,"Fire",NA,"Intimidate",150.58,2.24,"Modest",318,209,168,256,178,199,"Extreme Speed","Bite","Fire Fang","Odor Sleuth"
0,270,"Lotad","Lotad",0,"Water","Grass","Swift Swim",2.35,0.37,"Naive",217,65,69,108,107,84,"Rain Dance","Giga Drain","Zen Headbutt","Energy Ball"
0,108,"Lickitung","Lickitung",0,"Normal",NA,"Cloud Nine",67.9,1.33,"Hasty",292,116,153,143,166,89,"Refresh","Screech","Power Whip","Wring Out"
0,409,"Rampardos","Rampardos",0,"Rock",NA,"Soundproof",102.32,1.48,"Hardy",325,337,144,156,110,149,"Ancient Power","Zen Headbutt","Screech","Head Smash"
1,802,"Marshadow","Marshadow",NA,"Fighting","Ghost","Technician",23.59,0.54,"Brave",321,302,196,216,207,256,"Spectral Thief","Close Combat","Sucker Punch","Endeavor"
0,681,"Aegislash","Aegislash (Shield Forme)",0,"Steel","Ghost","Stance Change",55.58,2.43,"Careful",259,123,314,99,353,142,"Iron Defense","Slash","Head Smash","Night Slash"
0,347,"Anorith","Anorith",1,"Rock","Bug","Swift Swim",12.93,0.85,"Bold",220,177,123,112,133,173,"Crush Claw","X-Scissor","Protect","Rock Blast"
1,378,"Regice","Regice",NA,"Ice",NA,"Ice Body",175.01,1.84,"Jolly",272,136,209,212,422,149,"Lock-On","Zap Cannon","Superpower","Hyper Beam"
0,238,"Smoochum","Smoochum",0,"Ice","Psychic","Oblivious",6.03,0.14,"Relaxed",205,92,55,195,157,136,"Psychic","Copycat","Perish Song","Blizzard"
0,201,"Unown","Unown (One form)",NA,"Psychic",NA,"Levitate",6.48,0.56,"Sassy",228,179,127,153,138,92,"Hidden Power",NA,NA,NA
1,385,"Jirachi","Jirachi",NA,"Steel","Psychic","Serene Grace",1.31,0.49,"Timid",341,212,209,232,208,259,"Future Sight","Cosmic Power","Last Resort","Doom Desire"
0,671,"Florges","Florges (Red Flower)",0,"Fairy",NA,"Symbiosis",11.52,1.42,"Jolly",293,166,167,208,326,198,"Disarming Voice","Moonblast","Lucky Chant","Wish"
0,253,"Grovyle","Grovyle",1,"Grass",NA,"Overgrow",19.06,0.67,"Calm",230,144,95,187,162,198,"False Swipe","Quick Guard","Leaf Storm","Screech"
0,65,"Alakazam","Alakazam",0,"Psychic",NA,"Synchronize",45.12,1.53,"Adamant",247,145,119,252,206,246,"Psychic","Calm Mind","Future Sight","Trick"
0,79,"Slowpoke","Slowpoke",1,"Water","Psychic","Regenerator",32.83,0.92,"Docile",317,144,166,85,114,39,"Psychic","Rain Dance","Psych Up","Heal Pulse"
0,425,"Drifloon","Drifloon",0,"Ghost","Flying","Unburden",1.42,0.15,"Bold",312,107,91,128,124,172,"Shadow Ball","Amnesia","Baton Pass","Explosion"
0,769,"Sandygast","Sandygast",0,"Ghost","Ground","Sand Veil",68.55,0.25,"Timid",229,115,191,149,101,67,"Shadow Ball","Earth Power","Shore Up","Sandstorm"
0,43,"Oddish","Oddish",1,"Grass","Poison","Run Away",6.07,0.67,"Impish",202,116,158,140,137,81,"Natural Gift","Moonblast","Grassy Terrain","Petal Dance"
0,168,"Ariados","Ariados",1,"Bug","Poison","Sniper",32.89,0.95,"Naughty",271,204,149,132,138,110,"Poison Jab","Cross Poison","Sticky Web","Toxic Thread"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",41.34,0.44,"Relaxed",254,136,232,137,210,140,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,601,"Klinklang","Klinklang",0,"Steel",NA,"Clear Body",76.2,0.8,"Naive",250,207,256,158,173,203,"Shift Gear","Lock-On","Zap Cannon","Hyper Beam"
0,422,"Shellos","Shellos (West Sea)",0,"Water",NA,"Sticky Hold",5.85,0.32,"Hardy",270,122,119,119,138,100,"Rain Dance","Body Slam","Muddy Water","Recover"
0,550,"Basculin","Basculin (Red-Striped Form)",1,"Water",NA,"Adaptability",16.86,1.19,"Bold",267,188,182,169,133,215,"Flail","Final Gambit","Thrash","Head Smash"
1,386,"Deoxys","Deoxys (Speed Forme)",NA,"Psychic",NA,"Pressure",60.75,1.92,"Hasty",241,206,194,226,189,423,"Agility","Recover","Psycho Boost","Extreme Speed"
1,643,"Reshiram","Reshiram",NA,"Dragon","Fire","Turboblaze",333.33,2.9,"Relaxed",341,276,257,315,276,174,"Fire Blast","Outrage","Hyper Voice","Blue Flare"
0,297,"Hariyama","Hariyama",0,"Fighting",NA,"Sheer Force",256.51,2.38,"Careful",420,258,130,104,154,111,"Endure","Close Combat","Reversal","Heavy Slam"
1,144,"Articuno","Articuno",NA,"Ice","Flying","Snow Cloak",56.46,1.66,"Naive",312,197,236,226,257,203,"Blizzard","Roost","Hurricane","Sheer Cold"
1,717,"Yveltal","Yveltal",NA,"Dark","Flying","Dark Aura",199.88,5.8,"Naive",382,298,226,298,186,226,"Focus Blast","Sucker Punch","Hyper Beam","Sky Attack"
0,98,"Krabby","Krabby",1,"Water",NA,"Shell Armor",6.19,0.87,"Lonely",199,267,194,86,61,120,"Slam","Brine","Crabhammer","Flail"
0,350,"Milotic","Milotic",0,"Water",NA,"Marvel Scale",161.64,5.86,"Careful",304,156,182,210,290,175,"Safeguard","Coil","Hydro Pump","Rain Dance"
0,738,"Vikavolt","Vikavolt (1)",1,"Bug","Electric","Levitate",44.62,1.97,"Naive",274,157,213,300,150,123,"Bug Buzz","Dig","Zap Cannon","Agility"
0,724,"Decidueye","Decidueye",1,"Grass","Ghost","Long Reach",32.77,1.51,"Bashful",287,229,160,231,220,162,"Leaf Blade","Feather Dance","Brave Bird","Nasty Plot"
0,774,"Minior","Minior (Meteor Form)",NA,"Rock","Flying","Shields Down",39.43,0.41,"Rash",240,127,218,168,194,142,"Power Gem","Double-Edge","Shell Smash","Explosion"
0,128,"Tauros","Tauros",1,"Normal",NA,"Sheer Force",87.02,1.8,"Brave",288,248,223,104,154,215,"Take Down","Swagger","Thrash","Giga Impact"
0,686,"Inkay","Inkay",0,"Dark","Psychic","Contrary",2.94,0.53,"Modest",240,101,113,94,118,115,"Psycho Cut","Slash","Night Slash","Superpower"
0,585,"Deerling","Deerling (Summer Form)",1,"Normal","Grass","Chlorophyll",20.68,0.58,"Lax",243,134,126,107,102,169,"Charm","Nature Power","Double-Edge","Solar Beam"
0,422,"Shellos","Shellos (East Sea)",1,"Water",NA,"Storm Drain",5.48,0.39,"Lonely",277,122,99,122,145,80,"Rain Dance","Body Slam","Muddy Water","Recover"
0,8,"Wartortle","Wartortle",1,"Water",NA,"Torrent",22,1.37,"Adamant",229,149,172,128,167,124,"Skull Bash","Iron Defense","Rain Dance","Hydro Pump"
0,672,"Skiddo","Skiddo",0,"Grass",NA,"Sap Sipper",31.76,0.76,"Calm",243,148,107,143,155,127,"Double-Edge","Horn Leech","Leaf Blade","Milk Drink"
1,795,"Pheromosa","Pheromosa",NA,"Bug","Fighting","Beast Boost",23.98,1.64,"Timid",258,270,108,310,110,371,"Bug Buzz","Me First","High Jump Kick","Speed Swap"
0,75,"Graveler","Graveler (Alola Form)",0,"Rock","Electric","Sturdy",113.02,1.63,"Lax",248,204,259,114,96,94,"Discharge","Explosion","Double-Edge","Stone Edge"
0,463,"Lickilicky","Lickilicky",0,"Normal",NA,"Own Tempo",135.1,1.55,"Modest",336,168,226,193,212,106,"Screech","Power Whip","Wring Out","Gyro Ball"
0,689,"Barbaracle","Barbaracle",0,"Rock","Water","Pickpocket",97.72,1.71,"Bold",260,196,279,115,193,164,"Razor Shell","Cross Chop","Stone Edge","Skull Bash"
